rank	gene	degree
749	ENSMUSG00000066113	86
750	ENSMUSG00000120913	86
751	ENSMUSG00000023067	86
752	ENSMUSG00000026473	86
753	ENSMUSG00000003526	86
754	ENSMUSG00000033715	86
755	ENSMUSG00000107390	86
756	ENSMUSG00000088185	86
757	ENSMUSG00000064387	86
758	ENSMUSG00000104960	86
759	ENSMUSG00000086503	86
760	ENSMUSG00000028327	86
761	ENSMUSG00000023043	86
762	ENSMUSG00000066687	86
763	ENSMUSG00000036602	86
764	ENSMUSG00000002346	86
765	ENSMUSG00000041624	86
766	ENSMUSG00000118751	86
767	ENSMUSG00000045875	86
768	ENSMUSG00000088990	86
769	ENSMUSG00000022613	86
770	ENSMUSG00000115420	86
771	ENSMUSG00000085334	86
772	ENSMUSG00000089712	86
773	ENSMUSG00000042102	86
774	ENSMUSG00000028681	86
775	ENSMUSG00000104369	86
776	ENSMUSG00000048911	86
777	ENSMUSG00000121505	86
778	ENSMUSG00000053964	86
779	ENSMUSG00000027246	86
780	ENSMUSG00000061104	86
781	ENSMUSG00000065353	86
782	ENSMUSG00000016252	86
783	ENSMUSG00000109005	86
784	ENSMUSG00000027111	86
